"No.","Time","Source","Destination","Protocol","Length","Info"
"23","29.441946229","192.168.109.136","172.16.30.1","TCP","74","21  >  46772 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3784845446 TSecr=1800608927 WS=128"
"25","29.444207840","192.168.109.136","172.16.30.1","FTP","100","Response: 220 Welcome to netlab-FTP server"
"28","29.445198613","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=35 Ack=6 Win=65280 Len=0 TSval=3784845449 TSecr=1800608931"
"30","29.446265444","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=35 Ack=11 Win=65280 Len=0 TSval=3784845450 TSecr=1800608932"
"31","29.446330745","192.168.109.136","172.16.30.1","FTP","100","Response: 331 Please specify the password."
"33","29.447267391","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=69 Ack=16 Win=65280 Len=0 TSval=3784845451 TSecr=1800608933"
"35","29.448129656","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=69 Ack=21 Win=65280 Len=0 TSval=3784845452 TSecr=1800608934"
"36","29.457698585","192.168.109.136","172.16.30.1","FTP","89","Response: 230 Login successful."
"38","29.458956642","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=92 Ack=26 Win=65280 Len=0 TSval=3784845463 TSecr=1800608944"
"39","29.459156948","192.168.109.136","172.16.30.1","FTP","120","Response: 227 Entering Passive Mode (192,168,109,136,162,113)."
"41","29.460069219","192.168.109.136","172.16.30.1","TCP","74","41585  >  43196 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=3784845464 TSecr=1800608946 WS=128"
"44","29.460954042","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=146 Ack=31 Win=65280 Len=0 TSval=3784845465 TSecr=1800608946"
"46","29.461789907","192.168.109.136","172.16.30.1","TCP","66","21  >  46772 [ACK] Seq=146 Ack=46 Win=65280 Len=0 TSval=3784845466 TSecr=1800608947"
"47","29.462443275","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"49","29.462564939","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"51","29.462688698","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"53","29.462811410","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"55","29.462947462","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"57","29.462956262","192.168.109.136","172.16.30.1","FTP","143","Response: 150 Opening BINARY mode data connection for files/pic2.png (1965631 bytes)."
"58","29.463079672","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"60","29.463198193","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"62","29.463460029","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"64","29.463584138","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"66","29.463707059","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"68","29.463830748","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"70","29.463954228","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"72","29.464076312","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"74","29.464198884","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"76","29.464322713","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"78","29.464445424","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"80","29.464569114","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"81","29.464692594","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"83","29.464814537","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
"84","29.464937947","192.168.109.136","172.16.30.1","FTP-DATA","1514","FTP Data: 1448 bytes (PASV) (retr )"
